secs,x
0.00307,-1.0568
0.00308,2.1123
0.00309,-6.026
0.0031,3.65
0.00311,-6.0635
0.00312,-4.0241
0.00313,5.2587
0.00314,10.163
0.00315,-3.2447
0.00316,6.7107
0.00317,1.4903
0.00318,-1.0505
0.00319,0.86871
0.0032,2.227
0.00321,-2.7629
0.00322,7.2534
0.00323,2.226
0.00324,0.37175
0.00325,-2.3242
0.00326,1.2347
0.00327,-2.3811
0.00328,-1.7573
0.00329,0.22527
0.0033,2.3494
0.00331,2.0186
0.00332,2.9664
0.00333,-1.9611
0.00334,0.52983
0.00335,2.7281
0.00336,0.049832
0.00337,-0.13073
0.00338,5.3122
0.00339,-3.1283
0.0034,1.3323
0.00341,2.0351
0.00342,-0.72391
0.00343,-2.4433
0.00344,-0.74026
0.00345,-0.58357
0.00346,-1.3779
0.00347,-2.8727
0.00348,-0.65484
0.00349,1.627
0.0035,-2.8132
0.00351,-2.8473
0.00352,1.4405
0.00353,3.353
0.00354,8.716
0.00355,-3.263
0.00356,0.32725
0.00357,-4.6463
0.00358,3.4484
0.00359,0.96347
0.0036,-1.2751
0.00361,-4.0882
0.00362,-2.731
0.00363,-1.0822
0.00364,-4.0883
0.00365,7.735
0.00366,1.5309
0.00367,0.044358
0.00368,-4.1205
0.00369,-1.7952
0.0037,-4.0058
0.00371,1.3818
0.00372,2.8584
0.00373,-3.1545
0.00374,-5.058
0.00375,2.1583
0.00376,2.0844
0.00377,-0.9799
0.00378,0.38523
0.00379,-3.2352
0.0038,-0.29373
0.00381,1.6404
0.00382,-1.8344
0.00383,-0.2548
0.00384,6.1671
0.00385,0.564
0.00386,-2.6949
0.00387,-2.5092
0.00388,-0.31551
0.00389,0.20707
0.0039,2.0774
0.00391,2.7246
0.00392,0.31303
0.00393,-3.3511
0.00394,2.278
0.00395,-2.6471
0.00396,-2.5801
0.00397,-3.638
0.00398,5.8259
0.00399,3.0829
0.004,1.2056
0.00401,-1.0819
0.00402,1.0793
0.00403,-2.8047
0.00404,-5.4555
0.00405,0.64667
0.00406,3.4189
0.00407,-2.2215
0.00408,-3.6356
0.00409,1.8477
0.0041,-0.19988
0.00411,5.1189
0.00412,-1.9531
0.00413,4.3146
0.00414,0.055605
0.00415,6.0482
0.00416,0.080419
0.00417,-3.3253
0.00418,2.8197
0.00419,2.5565
0.0042,-7.1043
0.00421,-0.32237
0.00422,-0.72407
0.00423,-2.4764
0.00424,3.6129
0.00425,-2.4184
0.00426,-2.5787
0.00427,-0.1901
0.00428,0.84241
0.00429,-5.5988
0.0043,-1.8736
0.00431,-0.52898
0.00432,-3.3954
0.00433,-5.1626
0.00434,-0.98213
0.00435,0.82475
0.00436,2.5439
0.00437,-4.605
0.00438,1.1307
0.00439,-1.5113
0.0044,-3.1102
0.00441,2.5581
0.00442,5.5862
0.00443,2.3322
0.00444,3.5465
0.00445,7.2567
0.00446,0.98213
0.00447,1.6899
0.00448,-6.1441
0.00449,7.7075
0.0045,1.8607
0.00451,-4.224
0.00452,-2.6576
0.00453,0.44052
0.00454,2.1071
0.00455,-6.3883
0.00456,-2.7349
0.00457,2.4438
0.00458,-0.16219
0.00459,3.0959
0.0046,-0.62869
0.00461,-0.13079
0.00462,2.2589
0.00463,-4.6864
0.00464,-1.8455
0.00465,-3.4487
0.00466,-2.7594
0.00467,-5.9776
0.00468,2.2596
0.00469,1.6703
0.0047,2.897
0.00471,-0.2738
0.00472,-7.1572
0.00473,0.21736
0.00474,-0.24104
0.00475,-2.4878
0.00476,3.5835
0.00477,2.3858
0.00478,-3.318
0.00479,-0.060604
0.0048,1.8324
0.00481,-0.68769
0.00482,1.9022
0.00483,0.099389
0.00484,1.6783
0.00485,-0.86332
0.00486,2.4537
0.00487,-1.3483
0.00488,0.61102
0.00489,-2.0977
0.0049,1.4933
0.00491,4.0139
0.00492,1.4806
0.00493,-1.8704
0.00494,-0.46735
0.00495,3.1399
0.00496,3.5118
0.00497,0.95882
0.00498,4.6093
0.00499,-5.3595
0.005,-3.7512
0.00501,0.44574
0.00502,-1.3511
0.00503,-1.4283
0.00504,0.58267
0.00505,-0.2864
0.00506,-6.7388
0.00507,-1.5398
0.00508,-0.25434
0.00509,1.086
0.0051,0.91562
0.00511,-1.7059
0.00512,1.1709
0.00513,0.29937
0.00514,2.4592
0.00515,4.1633
0.00516,-3.2697
0.00517,-2.5617
0.00518,-2.9544
0.00519,1.5561
0.0052,-0.5688
0.00521,-3.9631
0.00522,4.8244
0.00523,-1.323
0.00524,1.2738
0.00525,-3.3963
0.00526,-4.1167
0.00527,1.0961
0.00528,0.21948
0.00529,-3.1501
0.0053,-2.9162
0.00531,-0.70101
0.00532,1.9019
0.00533,-1.1149
0.00534,-1.1599
0.00535,-4.3229
0.00536,-0.30562
0.00537,1.0724
0.00538,-1.7424
0.00539,-0.6126
0.0054,6.1362
0.00541,0.22878
0.00542,0.19586
0.00543,0.90709
0.00544,-4.6392
0.00545,-3.9566
0.00546,0.079908
0.00547,-5.5166
0.00548,5.5409
0.00549,1.9047
0.0055,1.3178
0.00551,0.58776
0.00552,-1.1052
0.00553,-0.45982
0.00554,0.2722
0.00555,-6.8243
0.00556,4.1529
0.00557,-2.1066
0.00558,-1.2995
0.00559,1.2365
0.0056,-5.2083
0.00561,3.8333
0.00562,7.0482
0.00563,2.5111
0.00564,-3.7975
0.00565,-3.5945
0.00566,4.6971
0.00567,1.7045
0.00568,-0.54628
0.00569,-3.3069
0.0057,-0.046236
0.00571,-1.5899
0.00572,1.6195
0.00573,-6.1511
0.00574,-4.3282
0.00575,1.5664
0.00576,-1.991
0.00577,4.9642
0.00578,0.34491
0.00579,-1.9928
0.0058,-0.4703
